country,animal,element,year,value
EU(15)ex.int,Sheep,Import Quantity,1994,1917935
EU(15)ex.int,Sheep,Import Quantity,1995,1682098
EU(15)ex.int,Sheep,Import Quantity,1996,1365227
EU(15)ex.int,Sheep,Import Quantity,1997,1339264
EU(15)ex.int,Sheep,Import Quantity,1998,1200144
EU(15)ex.int,Sheep,Import Quantity,1999,1383296
EU(15)ex.int,Sheep,Import Quantity,2000,1555036
EU(15)ex.int,Sheep,Import Quantity,2001,1896998
EU(15)ex.int,Sheep,Import Quantity,2002,1968464
EU(15)ex.int,Sheep,Import Quantity,2003,2217802
EU(15)ex.int,Sheep,Import Quantity,2004,2411204
EU(15)ex.int,Sheep,Import Quantity,2005,1903298
EU(15)ex.int,Sheep,Import Quantity,2006,1563898
EU(15)ex.int,Sheep,Import Quantity,2007,1714184
EU(15)ex.int,Sheep,Import Quantity,2008,1581112
EU(15)ex.int,Sheep,Import Quantity,2009,1659167
EU(15)ex.int,Sheep,Import Quantity,2010,1479417
EU(15)ex.int,Sheep,Import Quantity,2011,1064283
EU(25)ex.int,Pigs,Export Quantity,2006,1153273
EU(25)ex.int,Pigs,Export Quantity,2007,1165376
EU(25)ex.int,Pigs,Export Quantity,2008,2210195
EU(25)ex.int,Pigs,Export Quantity,2009,3412785
EU(25)ex.int,Pigs,Export Quantity,2010,2583085
EU(25)ex.int,Pigs,Export Quantity,2011,2367921
EU(25)ex.int,Pigs,Export Quantity,2012,2087829
EU(25)ex.int,Pigs,Export Quantity,2013,1776981
EU(25)ex.int,Sheep,Import Quantity,2003,1258340
EU(25)ex.int,Sheep,Import Quantity,2004,1627669
EU(27)ex.int,Pigs,Export Quantity,2008,1638800
EU(27)ex.int,Pigs,Export Quantity,2009,2363862
EU(27)ex.int,Pigs,Export Quantity,2010,1789263
EU(27)ex.int,Pigs,Export Quantity,2011,1647658
EU(27)ex.int,Pigs,Export Quantity,2012,1278868
EU(27)ex.int,Sheep,Export Quantity,1986,1169502
EU(27)ex.int,Sheep,Export Quantity,1987,1335137
EU(27)ex.int,Sheep,Export Quantity,1988,2144015
EU(27)ex.int,Sheep,Export Quantity,1993,1707345
EU(27)ex.int,Sheep,Export Quantity,1994,1485958
EU(27)ex.int,Sheep,Export Quantity,1995,1207035
EU(27)ex.int,Sheep,Export Quantity,1996,1215817
EU(27)ex.int,Sheep,Export Quantity,2011,1451842
EU(27)ex.int,Sheep,Export Quantity,2012,1628736
EU(27)ex.int,Sheep,Export Quantity,2013,1865593
European Union (exc intra-trade),Pigs,Export Quantity,2008,1135161
European Union (exc intra-trade),Pigs,Export Quantity,2009,1690306
European Union (exc intra-trade),Pigs,Export Quantity,2010,1186105
European Union (exc intra-trade),Pigs,Export Quantity,2011,1072634
European Union (exc intra-trade),Sheep,Export Quantity,1986,1169502
European Union (exc intra-trade),Sheep,Export Quantity,1987,1335137
European Union (exc intra-trade),Sheep,Export Quantity,1988,2144015
European Union (exc intra-trade),Sheep,Export Quantity,1993,1695101
European Union (exc intra-trade),Sheep,Export Quantity,1994,1465830
European Union (exc intra-trade),Sheep,Export Quantity,1995,1198732
European Union (exc intra-trade),Sheep,Export Quantity,1996,1202545
European Union (exc intra-trade),Sheep,Export Quantity,2011,1434035
European Union (exc intra-trade),Sheep,Export Quantity,2012,1623196
European Union (exc intra-trade),Sheep,Export Quantity,2013,1858715
World,Cattle,Import Quantity,1961,4877748
World,Cattle,Import Quantity,1962,4823036
World,Cattle,Import Quantity,1963,5142409
World,Cattle,Import Quantity,1964,4722758
World,Cattle,Import Quantity,1965,5276023
World,Cattle,Import Quantity,1966,5216323
World,Cattle,Import Quantity,1967,5413233
World,Cattle,Import Quantity,1968,6204999
World,Cattle,Import Quantity,1969,6637519
World,Cattle,Import Quantity,1970,6728287
World,Cattle,Import Quantity,1971,6917929
World,Cattle,Import Quantity,1972,7701480
World,Cattle,Import Quantity,1973,6855339
World,Cattle,Import Quantity,1974,5744028
World,Cattle,Import Quantity,1975,6071843
World,Cattle,Import Quantity,1976,6457131
World,Cattle,Import Quantity,1977,6615485
World,Cattle,Import Quantity,1978,7173987
World,Cattle,Import Quantity,1979,7169439
World,Cattle,Import Quantity,1980,6626151
World,Cattle,Import Quantity,1981,6967862
World,Cattle,Import Quantity,1982,7253318
World,Cattle,Import Quantity,1983,6752582
World,Cattle,Import Quantity,1984,6535309
World,Cattle,Import Quantity,1985,6604143
World,Cattle,Import Quantity,1986,6968235
World,Cattle,Import Quantity,1987,6969479
World,Cattle,Import Quantity,1988,6892402
World,Cattle,Import Quantity,1989,7210798
World,Cattle,Import Quantity,1990,8215949
World,Cattle,Import Quantity,1991,8166923
World,Cattle,Import Quantity,1992,9138992
World,Cattle,Import Quantity,1993,8528332
World,Cattle,Import Quantity,1994,9174114
World,Cattle,Import Quantity,1995,9727461
World,Cattle,Import Quantity,1996,8460488
World,Cattle,Import Quantity,1997,8953148
World,Cattle,Import Quantity,1998,8582999
World,Cattle,Import Quantity,1999,8749072
World,Cattle,Import Quantity,2000,8731547
World,Cattle,Import Quantity,2001,7903498
World,Cattle,Import Quantity,2002,8401545
World,Cattle,Import Quantity,2003,7523937
World,Cattle,Import Quantity,2004,7770165
World,Cattle,Import Quantity,2005,8120390
World,Cattle,Import Quantity,2006,9157360
World,Cattle,Import Quantity,2007,9137060
World,Cattle,Import Quantity,2008,8763013
World,Cattle,Import Quantity,2009,9572363
World,Cattle,Import Quantity,2010,10694311
World,Cattle,Import Quantity,2011,10324659
World,Cattle,Import Quantity,2012,10139567
World,Cattle,Import Quantity,2013,11022746
World,Cattle,Export Quantity,1961,4860845
World,Cattle,Export Quantity,1962,4776661
World,Cattle,Export Quantity,1963,4954209
World,Cattle,Export Quantity,1964,4691135
World,Cattle,Export Quantity,1965,5265195
World,Cattle,Export Quantity,1966,4999088
World,Cattle,Export Quantity,1967,5269931
World,Cattle,Export Quantity,1968,5996701
World,Cattle,Export Quantity,1969,6354417
World,Cattle,Export Quantity,1970,6678945
World,Cattle,Export Quantity,1971,6692530
World,Cattle,Export Quantity,1972,7532291
World,Cattle,Export Quantity,1973,6662933
World,Cattle,Export Quantity,1974,5756623
World,Cattle,Export Quantity,1975,6637354
World,Cattle,Export Quantity,1976,6729617
World,Cattle,Export Quantity,1977,6625715
World,Cattle,Export Quantity,1978,7549871
World,Cattle,Export Quantity,1979,7374365
World,Cattle,Export Quantity,1980,7007173
World,Cattle,Export Quantity,1981,7256589
World,Cattle,Export Quantity,1982,7675840
World,Cattle,Export Quantity,1983,7083810
World,Cattle,Export Quantity,1984,6692169
World,Cattle,Export Quantity,1985,6395363
World,Cattle,Export Quantity,1986,7102652
World,Cattle,Export Quantity,1987,7352485
World,Cattle,Export Quantity,1988,7315343
World,Cattle,Export Quantity,1989,7260964
World,Cattle,Export Quantity,1990,7971806
World,Cattle,Export Quantity,1991,8336892
World,Cattle,Export Quantity,1992,9152462
World,Cattle,Export Quantity,1993,8887068
World,Cattle,Export Quantity,1994,9710899
World,Cattle,Export Quantity,1995,10336851
World,Cattle,Export Quantity,1996,8848597
World,Cattle,Export Quantity,1997,9353001
World,Cattle,Export Quantity,1998,9006204
World,Cattle,Export Quantity,1999,9299697
World,Cattle,Export Quantity,2000,9383245
World,Cattle,Export Quantity,2001,8714958
World,Cattle,Export Quantity,2002,9047959
World,Cattle,Export Quantity,2003,7901687
World,Cattle,Export Quantity,2004,8031460
World,Cattle,Export Quantity,2005,8316331
World,Cattle,Export Quantity,2006,9613465
World,Cattle,Export Quantity,2007,9233969
World,Cattle,Export Quantity,2008,9073567
World,Cattle,Export Quantity,2009,9576520
World,Cattle,Export Quantity,2010,10930750
World,Cattle,Export Quantity,2011,10409329
World,Cattle,Export Quantity,2012,10228282
World,Cattle,Export Quantity,2013,10818306
World,Chickens,Import Quantity,2008,1003035
World,Chickens,Import Quantity,2009,1141247
World,Chickens,Import Quantity,2010,1259798
World,Chickens,Import Quantity,2011,1331706
World,Chickens,Import Quantity,2012,1434216
World,Chickens,Import Quantity,2013,1430284
World,Chickens,Export Quantity,2008,1040847
World,Chickens,Export Quantity,2009,1204778
World,Chickens,Export Quantity,2010,1381812
World,Chickens,Export Quantity,2011,1444591
World,Chickens,Export Quantity,2012,1499191
World,Chickens,Export Quantity,2013,1563085
World,Pigs,Import Quantity,1961,2568425
World,Pigs,Import Quantity,1962,2523357
World,Pigs,Import Quantity,1963,2369753
World,Pigs,Import Quantity,1964,2887066
World,Pigs,Import Quantity,1965,3574563
World,Pigs,Import Quantity,1966,3429530
World,Pigs,Import Quantity,1967,3177663
World,Pigs,Import Quantity,1968,3373834
World,Pigs,Import Quantity,1969,3975271
World,Pigs,Import Quantity,1970,4386174
World,Pigs,Import Quantity,1971,5392080
World,Pigs,Import Quantity,1972,5962105
World,Pigs,Import Quantity,1973,5774391
World,Pigs,Import Quantity,1974,5989284
World,Pigs,Import Quantity,1975,6376017
World,Pigs,Import Quantity,1976,6806885
World,Pigs,Import Quantity,1977,6700541
World,Pigs,Import Quantity,1978,7763533
World,Pigs,Import Quantity,1979,8095896
World,Pigs,Import Quantity,1980,10508484
World,Pigs,Import Quantity,1981,9723118
World,Pigs,Import Quantity,1982,8988622
World,Pigs,Import Quantity,1983,9371015
World,Pigs,Import Quantity,1984,9998182
World,Pigs,Import Quantity,1985,10229805
World,Pigs,Import Quantity,1986,11835680
World,Pigs,Import Quantity,1987,12288343
World,Pigs,Import Quantity,1988,12680194
World,Pigs,Import Quantity,1989,13281765
World,Pigs,Import Quantity,1990,13252574
World,Pigs,Import Quantity,1991,13421214
World,Pigs,Import Quantity,1992,13955929
World,Pigs,Import Quantity,1993,12058542
World,Pigs,Import Quantity,1994,12566461
World,Pigs,Import Quantity,1995,13315078
World,Pigs,Import Quantity,1996,15773449
World,Pigs,Import Quantity,1997,11572164
World,Pigs,Import Quantity,1998,14732508
World,Pigs,Import Quantity,1999,14906606
World,Pigs,Import Quantity,2000,15827179
World,Pigs,Import Quantity,2001,16178505
World,Pigs,Import Quantity,2002,18098806
World,Pigs,Import Quantity,2003,19989009
World,Pigs,Import Quantity,2004,21845648
World,Pigs,Import Quantity,2005,23914036
World,Pigs,Import Quantity,2006,26814140
World,Pigs,Import Quantity,2007,30628058
World,Pigs,Import Quantity,2008,31610086
World,Pigs,Import Quantity,2009,32884145
World,Pigs,Import Quantity,2010,33659482
World,Pigs,Import Quantity,2011,34826870
World,Pigs,Import Quantity,2012,37201417
World,Pigs,Import Quantity,2013,36867565
World,Pigs,Export Quantity,1961,2616304
World,Pigs,Export Quantity,1962,2697902
World,Pigs,Export Quantity,1963,2396167
World,Pigs,Export Quantity,1964,2890291
World,Pigs,Export Quantity,1965,3639030
World,Pigs,Export Quantity,1966,3397153
World,Pigs,Export Quantity,1967,3197924
World,Pigs,Export Quantity,1968,3437358
World,Pigs,Export Quantity,1969,3971789
World,Pigs,Export Quantity,1970,4642501
World,Pigs,Export Quantity,1971,5387540
World,Pigs,Export Quantity,1972,6096905
World,Pigs,Export Quantity,1973,5931493
World,Pigs,Export Quantity,1974,6070686
World,Pigs,Export Quantity,1975,6428206
World,Pigs,Export Quantity,1976,6945088
World,Pigs,Export Quantity,1977,6941538
World,Pigs,Export Quantity,1978,7762468
World,Pigs,Export Quantity,1979,8233820
World,Pigs,Export Quantity,1980,10537143
World,Pigs,Export Quantity,1981,9627088
World,Pigs,Export Quantity,1982,9114772
World,Pigs,Export Quantity,1983,9324876
World,Pigs,Export Quantity,1984,9908794
World,Pigs,Export Quantity,1985,10034443
World,Pigs,Export Quantity,1986,11652758
World,Pigs,Export Quantity,1987,12019761
World,Pigs,Export Quantity,1988,12472012
World,Pigs,Export Quantity,1989,13306178
World,Pigs,Export Quantity,1990,12902228
World,Pigs,Export Quantity,1991,13633415
World,Pigs,Export Quantity,1992,14209127
World,Pigs,Export Quantity,1993,12296372
World,Pigs,Export Quantity,1994,13682145
World,Pigs,Export Quantity,1995,13976688
World,Pigs,Export Quantity,1996,16094133
World,Pigs,Export Quantity,1997,12974457
World,Pigs,Export Quantity,1998,14970023
World,Pigs,Export Quantity,1999,15914615
World,Pigs,Export Quantity,2000,15747091
World,Pigs,Export Quantity,2001,15542702
World,Pigs,Export Quantity,2002,17112673
World,Pigs,Export Quantity,2003,20609394
World,Pigs,Export Quantity,2004,22674582
World,Pigs,Export Quantity,2005,24270289
World,Pigs,Export Quantity,2006,27067903
World,Pigs,Export Quantity,2007,30787914
World,Pigs,Export Quantity,2008,32121942
World,Pigs,Export Quantity,2009,34365371
World,Pigs,Export Quantity,2010,35121992
World,Pigs,Export Quantity,2011,35346197
World,Pigs,Export Quantity,2012,37154844
World,Pigs,Export Quantity,2013,38577345
World,Sheep,Import Quantity,1961,6828414
World,Sheep,Import Quantity,1962,6788744
World,Sheep,Import Quantity,1963,7009139
World,Sheep,Import Quantity,1964,6784551
World,Sheep,Import Quantity,1965,7401752
World,Sheep,Import Quantity,1966,8047941
World,Sheep,Import Quantity,1967,6922528
World,Sheep,Import Quantity,1968,8828704
World,Sheep,Import Quantity,1969,7932899
World,Sheep,Import Quantity,1970,7993385
World,Sheep,Import Quantity,1971,8560945
World,Sheep,Import Quantity,1972,10039218
World,Sheep,Import Quantity,1973,8340549
World,Sheep,Import Quantity,1974,8643679
World,Sheep,Import Quantity,1975,9258035
World,Sheep,Import Quantity,1976,9031274
World,Sheep,Import Quantity,1977,11408152
World,Sheep,Import Quantity,1978,12171858
World,Sheep,Import Quantity,1979,14289614
World,Sheep,Import Quantity,1980,15811281
World,Sheep,Import Quantity,1981,17426171
World,Sheep,Import Quantity,1982,17746366
World,Sheep,Import Quantity,1983,19266678
World,Sheep,Import Quantity,1984,19293908
World,Sheep,Import Quantity,1985,18278837
World,Sheep,Import Quantity,1986,18073623
World,Sheep,Import Quantity,1987,19402416
World,Sheep,Import Quantity,1988,19404323
World,Sheep,Import Quantity,1989,17888042
World,Sheep,Import Quantity,1990,18308918
World,Sheep,Import Quantity,1991,21390166
World,Sheep,Import Quantity,1992,22854188
World,Sheep,Import Quantity,1993,23986902
World,Sheep,Import Quantity,1994,22086812
World,Sheep,Import Quantity,1995,19870342
World,Sheep,Import Quantity,1996,19774223
World,Sheep,Import Quantity,1997,17424378
World,Sheep,Import Quantity,1998,16275995
World,Sheep,Import Quantity,1999,16653698
World,Sheep,Import Quantity,2000,16121593
World,Sheep,Import Quantity,2001,14214737
World,Sheep,Import Quantity,2002,17689112
World,Sheep,Import Quantity,2003,16024897
World,Sheep,Import Quantity,2004,15055648
World,Sheep,Import Quantity,2005,16717944
World,Sheep,Import Quantity,2006,16340468
World,Sheep,Import Quantity,2007,15199540
World,Sheep,Import Quantity,2008,14811223
World,Sheep,Import Quantity,2009,14250038
World,Sheep,Import Quantity,2010,15029553
World,Sheep,Import Quantity,2011,15227632
World,Sheep,Import Quantity,2012,15382545
World,Sheep,Import Quantity,2013,15315290
World,Sheep,Export Quantity,1961,6508924
World,Sheep,Export Quantity,1962,6453619
World,Sheep,Export Quantity,1963,6838941
World,Sheep,Export Quantity,1964,6565537
World,Sheep,Export Quantity,1965,7214460
World,Sheep,Export Quantity,1966,7733079
World,Sheep,Export Quantity,1967,7413742
World,Sheep,Export Quantity,1968,8197642
World,Sheep,Export Quantity,1969,8167416
World,Sheep,Export Quantity,1970,8452086
World,Sheep,Export Quantity,1971,8747670
World,Sheep,Export Quantity,1972,9208471
World,Sheep,Export Quantity,1973,9279487
World,Sheep,Export Quantity,1974,8683339
World,Sheep,Export Quantity,1975,9953823
World,Sheep,Export Quantity,1976,9461649
World,Sheep,Export Quantity,1977,11140984
World,Sheep,Export Quantity,1978,13098794
World,Sheep,Export Quantity,1979,13324703
World,Sheep,Export Quantity,1980,16427593
World,Sheep,Export Quantity,1981,15821235
World,Sheep,Export Quantity,1982,16387286
World,Sheep,Export Quantity,1983,18412441
World,Sheep,Export Quantity,1984,17723175
World,Sheep,Export Quantity,1985,16626285
World,Sheep,Export Quantity,1986,17008061
World,Sheep,Export Quantity,1987,19974891
World,Sheep,Export Quantity,1988,20372290
World,Sheep,Export Quantity,1989,20587061
World,Sheep,Export Quantity,1990,19032763
World,Sheep,Export Quantity,1991,21805439
World,Sheep,Export Quantity,1992,23106001
World,Sheep,Export Quantity,1993,21655983
World,Sheep,Export Quantity,1994,23427122
World,Sheep,Export Quantity,1995,20627856
World,Sheep,Export Quantity,1996,19964996
World,Sheep,Export Quantity,1997,18593496
World,Sheep,Export Quantity,1998,17062832
World,Sheep,Export Quantity,1999,17598842
World,Sheep,Export Quantity,2000,16083988
World,Sheep,Export Quantity,2001,15037460
World,Sheep,Export Quantity,2002,18739854
World,Sheep,Export Quantity,2003,16487226
World,Sheep,Export Quantity,2004,15577171
World,Sheep,Export Quantity,2005,17032915
World,Sheep,Export Quantity,2006,16342830
World,Sheep,Export Quantity,2007,15444367
World,Sheep,Export Quantity,2008,15302385
World,Sheep,Export Quantity,2009,14187553
World,Sheep,Export Quantity,2010,15169251
World,Sheep,Export Quantity,2011,15234284
World,Sheep,Export Quantity,2012,15574578
World,Sheep,Export Quantity,2013,16372996
Africa,Cattle,Import Quantity,1961,1133978
Africa,Cattle,Import Quantity,1962,1119776
Africa,Cattle,Import Quantity,1963,1313519
Africa,Cattle,Import Quantity,1964,1280529
Africa,Cattle,Import Quantity,1965,1208581
Africa,Cattle,Import Quantity,1966,1174012
Africa,Cattle,Import Quantity,1967,1187151
Africa,Cattle,Import Quantity,1968,1244960
Africa,Cattle,Import Quantity,1969,1318015
Africa,Cattle,Import Quantity,1970,1362985
Africa,Cattle,Import Quantity,1971,1450669
Africa,Cattle,Import Quantity,1972,1529591
Africa,Cattle,Import Quantity,1973,1406724
Africa,Cattle,Import Quantity,1974,1272945
Africa,Cattle,Import Quantity,1977,1067622
Africa,Cattle,Import Quantity,1978,1194335
Africa,Cattle,Import Quantity,1979,1244534
Africa,Cattle,Import Quantity,1980,1291948
Africa,Cattle,Import Quantity,1981,1548379
Africa,Cattle,Import Quantity,1982,1293827
Africa,Cattle,Import Quantity,1983,1313894
Africa,Cattle,Import Quantity,1984,1344384
Africa,Cattle,Import Quantity,1985,1005119
Africa,Cattle,Import Quantity,1994,1129383
Africa,Cattle,Import Quantity,1995,1156093
Africa,Cattle,Import Quantity,1996,1110453
Africa,Cattle,Import Quantity,1997,1101837
Africa,Cattle,Import Quantity,1998,1246999
Africa,Cattle,Import Quantity,1999,1095731
Africa,Cattle,Import Quantity,2000,1010716
Africa,Cattle,Import Quantity,2001,1075903
Africa,Cattle,Import Quantity,2002,1072047
Africa,Cattle,Import Quantity,2005,1015722
Africa,Cattle,Import Quantity,2006,1049460
Africa,Cattle,Import Quantity,2008,1050475
Africa,Cattle,Import Quantity,2009,1074337
Africa,Cattle,Import Quantity,2010,1197650
Africa,Cattle,Import Quantity,2011,1641003
Africa,Cattle,Import Quantity,2012,1345645
Africa,Cattle,Import Quantity,2013,1496075
Africa,Cattle,Export Quantity,1961,1195315
Africa,Cattle,Export Quantity,1962,1154922
Africa,Cattle,Export Quantity,1963,1240812
Africa,Cattle,Export Quantity,1964,1212405
Africa,Cattle,Export Quantity,1965,1168765
Africa,Cattle,Export Quantity,1966,1148561
Africa,Cattle,Export Quantity,1967,1140442
Africa,Cattle,Export Quantity,1968,1194749
Africa,Cattle,Export Quantity,1969,1221926
Africa,Cattle,Export Quantity,1970,1333869
Africa,Cattle,Export Quantity,1971,1359866
Africa,Cattle,Export Quantity,1972,1560019
Africa,Cattle,Export Quantity,1973,1444810
Africa,Cattle,Export Quantity,1974,1252442
Africa,Cattle,Export Quantity,1975,1025649
Africa,Cattle,Export Quantity,1976,1150303
Africa,Cattle,Export Quantity,1977,1156115
Africa,Cattle,Export Quantity,1978,1238062
Africa,Cattle,Export Quantity,1979,1315741
Africa,Cattle,Export Quantity,1980,1457115
Africa,Cattle,Export Quantity,1981,1580368
Africa,Cattle,Export Quantity,1982,1486653
Africa,Cattle,Export Quantity,1983,1228602
Africa,Cattle,Export Quantity,1984,1139313
Africa,Cattle,Export Quantity,1996,1074605
Africa,Cattle,Export Quantity,2008,1044504
Africa,Cattle,Export Quantity,2010,1100703
Africa,Cattle,Export Quantity,2011,1064781
Africa,Cattle,Export Quantity,2012,1102383
Africa,Cattle,Export Quantity,2013,1591695
Africa,Sheep,Import Quantity,1961,1288351
Africa,Sheep,Import Quantity,1962,1420831
Africa,Sheep,Import Quantity,1963,1605245
Africa,Sheep,Import Quantity,1964,1358375
Africa,Sheep,Import Quantity,1965,1205846
Africa,Sheep,Import Quantity,1966,1412844
Africa,Sheep,Import Quantity,1967,1574384
Africa,Sheep,Import Quantity,1968,1697549
Africa,Sheep,Import Quantity,1969,1726874
Africa,Sheep,Import Quantity,1970,1788700
Africa,Sheep,Import Quantity,1971,2070162
Africa,Sheep,Import Quantity,1972,1920595
Africa,Sheep,Import Quantity,1973,1999966
Africa,Sheep,Import Quantity,1974,1985785
Africa,Sheep,Import Quantity,1975,1765998
Africa,Sheep,Import Quantity,1976,1566850
Africa,Sheep,Import Quantity,1977,2232141
Africa,Sheep,Import Quantity,1978,2808220
Africa,Sheep,Import Quantity,1979,2671903
Africa,Sheep,Import Quantity,1980,2792686
Africa,Sheep,Import Quantity,1981,3821823
Africa,Sheep,Import Quantity,1982,3064422
Africa,Sheep,Import Quantity,1983,3244125
Africa,Sheep,Import Quantity,1984,3324725
Africa,Sheep,Import Quantity,1985,2529381
Africa,Sheep,Import Quantity,1986,2131737
Africa,Sheep,Import Quantity,1987,2923876
Africa,Sheep,Import Quantity,1988,2636154
Africa,Sheep,Import Quantity,1989,2191580
Africa,Sheep,Import Quantity,1990,1757162
Africa,Sheep,Import Quantity,1991,1997626
Africa,Sheep,Import Quantity,1992,2223147
Africa,Sheep,Import Quantity,1993,1955284
Africa,Sheep,Import Quantity,1994,1765292
Africa,Sheep,Import Quantity,1995,2309914
Africa,Sheep,Import Quantity,1996,2423230
Africa,Sheep,Import Quantity,1997,1953341
Africa,Sheep,Import Quantity,1998,2368388
Africa,Sheep,Import Quantity,1999,1322833
Africa,Sheep,Import Quantity,2000,1675009
Africa,Sheep,Import Quantity,2001,2307611
Africa,Sheep,Import Quantity,2002,1721684
Africa,Sheep,Import Quantity,2003,1578597
Africa,Sheep,Import Quantity,2004,1435524
Africa,Sheep,Import Quantity,2005,1373537
Africa,Sheep,Import Quantity,2006,1633735
Africa,Sheep,Import Quantity,2007,1362564
Africa,Sheep,Import Quantity,2008,1579889
Africa,Sheep,Import Quantity,2009,1238321
Africa,Sheep,Import Quantity,2010,1826635
Africa,Sheep,Import Quantity,2011,1688352
Africa,Sheep,Import Quantity,2012,2445842
Africa,Sheep,Import Quantity,2013,2470303
Africa,Sheep,Export Quantity,1961,1973938
Africa,Sheep,Export Quantity,1962,2036887
Africa,Sheep,Export Quantity,1963,2116872
Africa,Sheep,Export Quantity,1964,2219979
Africa,Sheep,Export Quantity,1965,1983664
Africa,Sheep,Export Quantity,1966,2052439
Africa,Sheep,Export Quantity,1967,2137972
Africa,Sheep,Export Quantity,1968,2437265
Africa,Sheep,Export Quantity,1969,2406175
Africa,Sheep,Export Quantity,1970,2135147
Africa,Sheep,Export Quantity,1971,2089142
Africa,Sheep,Export Quantity,1972,2359281
Africa,Sheep,Export Quantity,1973,2277544
Africa,Sheep,Export Quantity,1974,2235118
Africa,Sheep,Export Quantity,1975,2186595
Africa,Sheep,Export Quantity,1976,1843980
Africa,Sheep,Export Quantity,1977,1855435
Africa,Sheep,Export Quantity,1978,2186114
Africa,Sheep,Export Quantity,1979,2249059
Africa,Sheep,Export Quantity,1980,2557914
Africa,Sheep,Export Quantity,1981,2997998
Africa,Sheep,Export Quantity,1982,2952173
Africa,Sheep,Export Quantity,1983,2310777
Africa,Sheep,Export Quantity,1984,2169549
Africa,Sheep,Export Quantity,1985,2924223
Africa,Sheep,Export Quantity,1986,2297076
Africa,Sheep,Export Quantity,1987,2182493
Africa,Sheep,Export Quantity,1988,2206291
Africa,Sheep,Export Quantity,1989,2266514
Africa,Sheep,Export Quantity,1990,2700700
Africa,Sheep,Export Quantity,1991,2437053
Africa,Sheep,Export Quantity,1992,3428462
Africa,Sheep,Export Quantity,1993,3738966
Africa,Sheep,Export Quantity,1994,4025897
Africa,Sheep,Export Quantity,1995,4133347
Africa,Sheep,Export Quantity,1996,4455911
Africa,Sheep,Export Quantity,1997,4210969
Africa,Sheep,Export Quantity,1998,4441192
Africa,Sheep,Export Quantity,1999,4855347
Africa,Sheep,Export Quantity,2000,3357216
Africa,Sheep,Export Quantity,2001,2366234
Africa,Sheep,Export Quantity,2002,4944583
Africa,Sheep,Export Quantity,2003,4464885
Africa,Sheep,Export Quantity,2004,4080294
Africa,Sheep,Export Quantity,2005,3995182
Africa,Sheep,Export Quantity,2006,3715451
Africa,Sheep,Export Quantity,2007,3088662
Africa,Sheep,Export Quantity,2008,3344517
Africa,Sheep,Export Quantity,2009,4019376
Africa,Sheep,Export Quantity,2010,4979454
Africa,Sheep,Export Quantity,2011,5705195
Africa,Sheep,Export Quantity,2012,6908266
Africa,Sheep,Export Quantity,2013,7614543
Eastern Africa,Sheep,Export Quantity,1993,1238840
Eastern Africa,Sheep,Export Quantity,1994,1185554
Eastern Africa,Sheep,Export Quantity,1995,1343249
Eastern Africa,Sheep,Export Quantity,1996,1403111
Eastern Africa,Sheep,Export Quantity,1997,1693005
Eastern Africa,Sheep,Export Quantity,1998,1204653
Eastern Africa,Sheep,Export Quantity,1999,2332232
Eastern Africa,Sheep,Export Quantity,2000,1541683
Eastern Africa,Sheep,Export Quantity,2002,1460685
Eastern Africa,Sheep,Export Quantity,2003,1647123
Eastern Africa,Sheep,Export Quantity,2004,1210902
Eastern Africa,Sheep,Export Quantity,2005,1431418
Eastern Africa,Sheep,Export Quantity,2006,1485817
Eastern Africa,Sheep,Export Quantity,2007,1274711
Eastern Africa,Sheep,Export Quantity,2008,1554380
Eastern Africa,Sheep,Export Quantity,2009,1893404
Eastern Africa,Sheep,Export Quantity,2010,1925529
Eastern Africa,Sheep,Export Quantity,2011,2278913
Eastern Africa,Sheep,Export Quantity,2012,2527772
Eastern Africa,Sheep,Export Quantity,2013,2892674
Northern Africa,Sheep,Import Quantity,1971,1088890
Northern Africa,Sheep,Import Quantity,1973,1044644
Northern Africa,Sheep,Import Quantity,1974,1057694
Northern Africa,Sheep,Import Quantity,1977,1394884
Northern Africa,Sheep,Import Quantity,1978,1918909
Northern Africa,Sheep,Import Quantity,1979,1853244
Northern Africa,Sheep,Import Quantity,1980,1996429
Northern Africa,Sheep,Import Quantity,1981,2531899
Northern Africa,Sheep,Import Quantity,1982,1977714
Northern Africa,Sheep,Import Quantity,1983,2366826
Northern Africa,Sheep,Import Quantity,1984,2358200
Northern Africa,Sheep,Import Quantity,1985,1259821
Northern Africa,Sheep,Import Quantity,1987,1744568
Northern Africa,Sheep,Import Quantity,1988,1474112
Northern Africa,Sheep,Import Quantity,2012,1027327
Northern Africa,Sheep,Import Quantity,2013,1357873
Northern Africa,Sheep,Export Quantity,1994,1035117
Northern Africa,Sheep,Export Quantity,1996,1192401
Northern Africa,Sheep,Export Quantity,1997,1054207
Northern Africa,Sheep,Export Quantity,1998,1187160
Northern Africa,Sheep,Export Quantity,1999,1388170
Northern Africa,Sheep,Export Quantity,2002,1576931
Northern Africa,Sheep,Export Quantity,2003,1363922
Northern Africa,Sheep,Export Quantity,2004,1480370
Northern Africa,Sheep,Export Quantity,2005,1152052
Northern Africa,Sheep,Export Quantity,2006,1040754
Northern Africa,Sheep,Export Quantity,2009,1222798
Northern Africa,Sheep,Export Quantity,2010,1699566
Northern Africa,Sheep,Export Quantity,2011,2566364
Northern Africa,Sheep,Export Quantity,2012,3495440
